horas_energia,dia_semana,estacao,temperatura,pessoas,consumo_kwh,gasto_euros
22,sexta,inverno,2.7,5,24.97,3.75
21,terça,inverno,0.7,3,17.54,2.63
2,quarta,inverno,6.6,5,2.66,0.4
24,terça,inverno,3.7,1,18.84,2.83
3,sábado,inverno,4.5,3,3.08,0.46
5,domingo,inverno,7.4,5,6.85,1.03
10,sexta,inverno,10.5,5,15.25,2.29
6,sexta,inverno,0.0,5,6.0,0.9
24,quarta,inverno,11.7,1,28.44,4.27
11,sexta,inverno,8.4,2,12.32,1.85
19,quinta,inverno,3.9,4,20.8,3.12
7,quinta,inverno,12.6,5,11.41,1.71
15,segunda,inverno,4.8,3,15.6,2.34
22,segunda,inverno,0.3,1,13.53,2.03
24,sexta,inverno,3.1,4,25.32,3.8
7,quinta,inverno,0.3,1,4.3,0.64
16,quinta,inverno,6.8,2,16.64,2.5
5,domingo,inverno,13.5,1,6.38,0.96
8,terça,inverno,5.6,4,9.44,1.42
7,quarta,inverno,11.6,2,8.96,1.34
4,domingo,inverno,9.7,4,5.54,0.83
17,segunda,inverno,0.8,1,10.88,1.63
7,quinta,inverno,8.9,2,8.02,1.2
22,segunda,inverno,0.7,2,16.17,2.43
18,quinta,inverno,1.5,3,15.75,2.36
12,domingo,inverno,13.2,5,19.92,2.99
8,quinta,inverno,9.2,2,9.28,1.39
22,domingo,inverno,2.0,5,24.2,3.63
11,quarta,inverno,11.5,2,14.02,2.1
10,segunda,inverno,8.3,2,11.15,1.67
14,terça,inverno,1.4,4,13.58,2.04
21,quarta,inverno,4.6,3,21.63,3.24
5,domingo,inverno,8.6,2,5.65,0.85
9,terça,inverno,12.8,5,14.76,2.21
16,domingo,inverno,11.1,5,24.88,3.73
13,sábado,inverno,13.5,4,20.48,3.07
23,segunda,inverno,9.8,4,31.97,4.8
8,sexta,inverno,3.0,3,7.6,1.14
6,sábado,inverno,8.0,4,7.8,1.17
4,domingo,inverno,4.4,2,3.68,0.55
11,terça,inverno,14.3,5,18.87,2.83
18,sexta,inverno,7.4,1,17.46,2.62
24,domingo,inverno,10.9,4,34.68,5.2
16,terça,inverno,8.8,2,18.24,2.74
4,sexta,inverno,8.6,4,5.32,0.8
16,segunda,inverno,8.5,4,21.2,3.18
18,sexta,inverno,12.8,1,22.32,3.35
7,quarta,inverno,10.0,1,7.7,1.16
23,sábado,inverno,3.6,3,22.54,3.38
10,quarta,inverno,11.4,4,14.7,2.2
15,sábado,inverno,5.0,1,12.75,1.91
13,sexta,inverno,7.0,5,17.55,2.63
18,segunda,inverno,10.4,5,27.36,4.1
11,terça,inverno,5.8,3,11.99,1.8
20,quarta,inverno,6.6,5,26.6,3.99
6,sexta,inverno,13.7,2,8.31,1.25
11,quinta,inverno,8.8,3,13.64,2.05
22,sábado,inverno,5.1,5,27.61,4.14
4,sábado,inverno,10.7,2,4.94,0.74
8,sexta,inverno,9.2,1,8.48,1.27
8,domingo,inverno,1.5,3,7.0,1.05
6,domingo,inverno,11.7,2,7.71,1.16
9,terça,inverno,9.6,5,13.32,2.0
15,terça,inverno,5.1,2,14.32,2.15
16,sexta,inverno,11.7,4,23.76,3.56
15,sexta,inverno,8.0,2,16.5,2.48
2,terça,inverno,8.9,3,2.49,0.37
20,quarta,inverno,14.0,2,28.0,4.2
22,sexta,inverno,14.5,1,29.15,4.37
3,quinta,inverno,8.4,4,3.96,0.59
15,quinta,inverno,3.2,5,17.4,2.61
21,quinta,inverno,3.8,3,20.79,3.12
13,sexta,inverno,1.8,2,10.27,1.54
4,quarta,inverno,7.7,4,5.14,0.77
10,sexta,inverno,1.8,2,7.9,1.19
1,sábado,inverno,7.5,4,1.27,0.19
5,sábado,inverno,1.0,4,4.75,0.71
14,quarta,inverno,7.5,2,15.05,2.26
20,sexta,primavera,19.1,2,33.1,4.96
8,terça,primavera,16.1,2,12.04,1.81
20,sexta,primavera,10.2,1,22.2,3.33
9,quinta,primavera,12.1,5,14.45,2.17
23,quinta,primavera,13.2,2,31.28,4.69
8,domingo,primavera,24.5,2,15.4,2.31
8,segunda,primavera,12.6,5,13.04,1.96
8,domingo,primavera,17.5,3,13.4,2.01
2,quarta,primavera,22.1,4,4.01,0.6
12,segunda,primavera,10.6,4,17.16,2.57
11,sexta,primavera,18.0,4,19.8,2.97
23,quarta,primavera,20.1,3,41.52,6.23
20,quinta,primavera,19.6,2,33.6,5.04
2,sábado,primavera,11.4,4,2.94,0.44
20,quinta,primavera,24.8,3,40.8,6.12
19,segunda,primavera,24.2,3,38.19,5.73
7,segunda,primavera,13.4,5,11.69,1.75
21,domingo,primavera,23.6,1,37.38,5.61
11,domingo,primavera,20.7,3,20.18,3.03
19,quinta,primavera,15.7,2,28.21,4.23
3,terça,primavera,16.5,4,5.18,0.78
18,domingo,primavera,18.8,1,27.72,4.16
14,terça,primavera,19.5,4,26.25,3.94
2,sexta,primavera,14.4,4,3.24,0.49
6,terça,primavera,13.8,2,8.34,1.25
14,domingo,primavera,16.7,2,21.49,3.22
22,domingo,primavera,17.4,1,32.34,4.85
3,segunda,primavera,18.2,4,5.43,0.81
12,quinta,primavera,15.4,4,20.04,3.01
5,sábado,primavera,19.8,5,9.95,1.49
19,quinta,primavera,18.3,5,36.38,5.46
20,terça,primavera,24.3,5,44.3,6.64
22,sexta,primavera,15.8,2,32.78,4.92
2,sexta,primavera,20.6,3,3.66,0.55
14,segunda,primavera,19.5,4,26.25,3.94
13,quarta,primavera,23.5,2,24.38,3.66
7,domingo,primavera,10.6,3,9.31,1.4
5,quarta,primavera,25.0,3,10.25,1.54
5,segunda,primavera,18.1,3,8.53,1.28
7,segunda,primavera,21.8,1,11.83,1.77
15,sexta,primavera,10.4,2,18.3,2.75
20,domingo,primavera,23.8,5,43.8,6.57
13,segunda,primavera,17.6,3,21.84,3.28
7,quinta,primavera,24.1,4,14.73,2.21
11,quarta,primavera,20.6,2,19.03,2.85
9,quarta,primavera,10.4,2,10.98,1.65
22,terça,primavera,19.9,5,43.89,6.58
15,sexta,primavera,11.9,2,19.42,2.91
22,quinta,primavera,20.5,5,44.55,6.68
15,sábado,primavera,23.7,4,31.27,4.69
10,terça,primavera,21.5,5,20.75,3.11
3,sábado,primavera,16.7,2,4.6,0.69
1,sexta,primavera,21.4,1,1.67,0.25
6,quarta,primavera,10.4,4,8.52,1.28
24,sábado,primavera,22.1,3,45.72,6.86
5,terça,primavera,23.5,5,10.88,1.63
2,segunda,primavera,21.8,3,3.78,0.57
5,segunda,primavera,11.4,5,7.85,1.18
22,domingo,primavera,19.2,5,43.12,6.47
3,sábado,primavera,14.2,2,4.23,0.63
11,sexta,primavera,22.7,4,22.39,3.36
6,quinta,primavera,14.5,1,7.95,1.19
16,domingo,primavera,21.5,5,33.2,4.98
18,quinta,primavera,11.9,4,26.91,4.04
23,sábado,primavera,16.3,2,34.85,5.23
13,quinta,primavera,20.4,3,23.66,3.55
5,sexta,primavera,12.5,1,6.12,0.92
1,sábado,primavera,17.6,5,1.88,0.28
19,sábado,primavera,10.4,3,25.08,3.76
18,quinta,primavera,14.4,4,29.16,4.37
11,quinta,primavera,10.9,2,13.7,2.05
12,segunda,primavera,12.1,4,18.06,2.71
1,sexta,primavera,15.8,2,1.49,0.22
24,terça,primavera,17.2,2,37.44,5.62
22,domingo,primavera,24.8,4,47.08,7.06
23,quarta,primavera,22.4,3,44.16,6.62
2,quarta,primavera,10.9,1,2.29,0.34
13,sábado,primavera,23.6,3,25.74,3.86
19,domingo,primavera,19.8,1,30.21,4.53
13,terça,primavera,18.5,4,23.73,3.56
9,segunda,primavera,20.9,3,16.61,2.49
18,sábado,primavera,11.2,2,22.68,3.4
18,sexta,primavera,20.0,3,32.4,4.86
10,domingo,primavera,13.2,1,12.6,1.89
18,quinta,primavera,20.3,1,29.07,4.36
6,domingo,primavera,11.5,4,8.85,1.33
10,terça,primavera,14.6,4,16.3,2.44
1,sábado,primavera,21.9,3,1.9,0.28
24,sexta,primavera,20.3,2,41.16,6.17
22,quinta,primavera,11.4,1,25.74,3.86
18,domingo,primavera,13.1,5,29.79,4.47
6,quarta,primavera,15.9,2,8.97,1.35
12,segunda,primavera,24.3,4,25.38,3.81
7,domingo,primavera,18.6,2,11.41,1.71
24,sábado,primavera,13.6,2,33.12,4.97
9,sexta,primavera,23.3,1,15.89,2.38
5,sábado,primavera,18.8,1,7.7,1.16
16,quinta,primavera,23.6,2,30.08,4.51
15,segunda,primavera,16.6,3,24.45,3.67
15,quinta,primavera,19.4,3,26.55,3.98
20,quarta,primavera,19.3,2,33.3,4.99
12,sexta,primavera,22.1,5,25.26,3.79
8,quarta,primavera,17.7,3,13.48,2.02
19,quinta,primavera,12.1,5,30.5,4.58
17,sexta,primavera,12.5,1,20.83,3.12
4,sexta,primavera,10.7,3,5.34,0.8
10,quarta,primavera,14.2,1,13.1,1.96
14,quinta,primavera,22.4,1,24.08,3.61
12,quinta,primavera,12.4,5,19.44,2.92
14,sexta,primavera,20.3,2,24.01,3.6
17,domingo,primavera,24.2,2,32.47,4.87
2,segunda,primavera,14.7,2,2.87,0.43
18,sábado,primavera,14.9,3,27.81,4.17
22,quinta,primavera,22.3,1,37.73,5.66
22,domingo,primavera,21.5,1,36.85,5.53
14,quarta,primavera,15.4,2,20.58,3.09
18,terça,primavera,12.3,4,27.27,4.09
13,sábado,primavera,13.8,5,21.97,3.3
2,sábado,primavera,23.3,1,3.53,0.53
2,quinta,primavera,22.7,3,3.87,0.58
17,quinta,primavera,23.3,4,35.1,5.26
2,domingo,primavera,22.9,2,3.69,0.55
24,quarta,primavera,21.8,5,50.16,7.52
23,quinta,primavera,17.0,2,35.65,5.35
1,quinta,primavera,24.9,2,1.95,0.29
18,domingo,primavera,18.2,5,34.38,5.16
2,sábado,primavera,23.6,4,4.16,0.62
22,terça,primavera,13.8,4,34.98,5.25
13,terça,primavera,10.4,3,17.16,2.57
4,segunda,primavera,17.1,2,6.22,0.93
19,domingo,primavera,17.9,3,32.2,4.83
8,segunda,primavera,11.6,5,12.64,1.9
8,terça,primavera,13.4,3,11.76,1.76
1,domingo,primavera,20.2,4,1.91,0.29
20,sexta,primavera,23.6,1,35.6,5.34
24,sábado,primavera,17.4,5,44.88,6.73
7,sexta,primavera,15.0,4,11.55,1.73
2,quinta,primavera,14.6,2,2.86,0.43
23,sábado,primavera,23.0,5,49.45,7.42
17,terça,primavera,16.0,4,28.9,4.33
19,quarta,primavera,21.1,1,31.45,4.72
24,segunda,primavera,15.9,5,43.08,6.46
2,domingo,primavera,19.7,1,3.17,0.48
6,domingo,primavera,21.0,2,10.5,1.57
23,quarta,primavera,17.4,1,33.81,5.07
22,domingo,primavera,22.5,4,44.55,6.68
20,sábado,primavera,18.2,3,34.2,5.13
23,domingo,primavera,14.5,4,37.38,5.61
6,quarta,primavera,18.9,4,11.07,1.66
21,segunda,primavera,12.5,5,34.12,5.12
18,segunda,verão,21.1,4,35.19,5.28
8,segunda,verão,22.6,4,16.24,2.44
13,segunda,verão,21.1,5,26.72,4.01
4,segunda,verão,27.8,5,9.56,1.43
6,segunda,verão,30.9,5,15.27,2.29
5,sexta,verão,29.5,2,10.88,1.63
22,sábado,verão,24.1,5,48.51,7.28
23,quinta,verão,31.4,3,54.51,8.18
5,sexta,verão,34.2,1,11.55,1.73
11,sábado,verão,26.3,1,21.07,3.16
4,quinta,verão,24.3,4,8.46,1.27
2,segunda,verão,20.1,5,4.01,0.6
7,quinta,verão,24.6,2,13.51,2.03
7,terça,verão,20.8,3,12.88,1.93
14,quinta,verão,27.2,5,33.04,4.96
24,quarta,verão,27.3,3,51.96,7.79
3,sexta,verão,27.6,4,6.84,1.03
24,domingo,verão,31.3,1,51.96,7.79
8,quinta,verão,24.6,1,14.64,2.2
16,domingo,verão,31.4,2,36.32,5.45
14,domingo,verão,28.5,5,33.95,5.09
12,domingo,verão,32.0,1,26.4,3.96
3,quarta,verão,32.8,2,7.02,1.05
5,domingo,verão,28.0,2,10.5,1.57
13,domingo,verão,26.4,2,26.26,3.94
18,sexta,verão,28.1,2,37.89,5.68
9,domingo,verão,22.5,3,17.32,2.6
15,terça,verão,24.8,1,27.6,4.14
9,segunda,verão,29.6,2,19.62,2.94
1,quinta,verão,20.4,3,1.82,0.27
4,quinta,verão,20.2,3,7.24,1.09
24,terça,verão,29.1,3,54.12,8.12
7,quarta,verão,29.0,4,16.45,2.47
22,sexta,verão,27.4,1,43.34,6.5
20,quarta,verão,32.0,2,46.0,6.9
18,sexta,verão,24.6,5,40.14,6.02
1,segunda,verão,29.0,3,2.25,0.34
14,quinta,verão,24.1,2,26.67,4.0
13,sexta,verão,25.1,3,26.72,4.01
7,quarta,verão,23.9,3,13.96,2.09
21,segunda,verão,25.8,4,45.99,6.9
8,terça,verão,28.6,2,17.04,2.56
24,quinta,verão,29.9,2,52.68,7.9
19,quinta,verão,23.5,4,39.43,5.91
15,sábado,verão,22.8,1,26.1,3.92
12,quarta,verão,28.8,4,28.08,4.21
3,quarta,verão,31.9,2,6.88,1.03
9,segunda,verão,27.1,4,20.3,3.04
15,quinta,verão,23.0,5,32.25,4.84
2,sábado,verão,21.7,3,3.77,0.57
11,terça,verão,21.6,3,20.68,3.1
9,domingo,verão,26.8,1,17.46,2.62
6,domingo,verão,27.1,3,12.93,1.94
18,quinta,verão,24.3,5,39.87,5.98
18,quinta,verão,28.1,2,37.89,5.68
4,quinta,verão,24.5,2,7.7,1.16
7,quinta,verão,22.5,3,13.47,2.02
16,quarta,verão,32.9,5,42.32,6.35
3,segunda,verão,22.1,1,5.12,0.77
14,segunda,verão,21.7,1,23.59,3.54
12,sexta,verão,29.0,1,24.6,3.69
4,quinta,verão,22.4,4,8.08,1.21
16,quarta,verão,20.3,1,25.84,3.88
11,sábado,verão,22.1,5,23.16,3.47
4,terça,verão,25.8,3,8.36,1.25
5,domingo,verão,23.8,3,9.95,1.49
11,quarta,verão,20.1,1,17.66,2.65
11,segunda,verão,25.1,3,22.61,3.39
20,quinta,verão,31.0,3,47.0,7.05
14,sábado,verão,24.4,3,28.28,4.24
10,sexta,verão,33.5,5,26.75,4.01
13,domingo,verão,26.1,1,24.77,3.72
21,terça,verão,32.1,1,46.3,6.94
18,sexta,verão,25.9,5,41.31,6.2
23,quinta,verão,23.3,3,45.2,6.78
22,sexta,verão,32.9,1,49.39,7.41
15,quarta,verão,31.4,2,34.05,5.11
22,sexta,verão,22.1,2,39.71,5.96
3,quarta,verão,23.4,4,6.21,0.93
8,domingo,verão,23.7,2,15.08,2.26
24,segunda,verão,27.0,2,49.2,7.38
14,segunda,verão,26.4,5,32.48,4.87
16,domingo,verão,20.8,4,31.04,4.66
19,quarta,verão,27.5,5,45.12,6.77
12,quarta,verão,33.6,4,30.96,4.64
18,sábado,verão,33.5,1,40.95,6.14
3,domingo,verão,22.5,1,5.18,0.78
2,quinta,verão,22.4,3,3.84,0.58
11,sexta,verão,26.0,5,25.3,3.79
9,segunda,verão,30.6,4,21.87,3.28
15,quarta,verão,24.7,1,27.52,4.13
16,terça,verão,27.6,5,38.08,5.71
14,sábado,verão,25.2,5,31.64,4.75
23,terça,verão,33.3,5,61.3,9.19
19,quarta,verão,25.2,2,37.24,5.59
9,domingo,verão,21.7,5,18.77,2.82
16,sexta,verão,25.9,4,35.12,5.27
11,terça,verão,22.9,5,23.59,3.54
20,quarta,verão,24.9,2,38.9,5.83
6,sexta,verão,27.0,3,12.9,1.94
23,quinta,verão,31.3,2,52.1,7.81
12,quarta,verão,32.2,3,28.92,4.34
4,terça,verão,28.5,5,9.7,1.45
2,quinta,verão,22.8,4,4.08,0.61
3,segunda,verão,31.3,4,7.4,1.11
8,terça,verão,31.1,5,20.44,3.07
11,quarta,verão,31.4,4,27.17,4.08
17,sábado,verão,21.8,1,28.73,4.31
15,terça,verão,21.3,2,26.48,3.97
12,domingo,verão,31.2,3,28.32,4.25
10,domingo,verão,23.5,3,19.75,2.96
22,sexta,verão,22.7,3,42.57,6.39
19,domingo,verão,31.7,3,45.31,6.8
1,sábado,verão,22.0,5,2.1,0.32
14,sexta,verão,21.4,2,24.78,3.72
9,quarta,verão,27.0,4,20.25,3.04
16,quinta,verão,33.3,5,42.64,6.4
24,terça,verão,33.1,3,58.92,8.84
12,quinta,verão,32.7,2,28.02,4.2
12,quarta,verão,31.6,1,26.16,3.92
11,sexta,verão,22.2,3,21.01,3.15
8,quarta,verão,26.4,4,17.76,2.66
1,quinta,verão,22.6,1,1.73,0.26
7,terça,verão,26.7,4,15.64,2.35
17,terça,verão,26.0,2,34.0,5.1
22,sábado,verão,27.4,5,52.14,7.82
1,sábado,verão,30.5,4,2.43,0.36
9,segunda,verão,33.4,3,22.23,3.33
16,terça,verão,25.0,2,31.2,4.68
16,sexta,verão,31.3,3,37.84,5.68
8,quinta,verão,27.3,4,18.12,2.72
8,sexta,verão,32.0,2,18.4,2.76
22,quarta,verão,22.4,1,37.84,5.68
7,segunda,verão,22.1,1,11.94,1.79
12,terça,verão,28.2,1,24.12,3.62
22,domingo,verão,25.4,2,43.34,6.5
6,quinta,verão,29.6,2,13.08,1.96
10,quinta,verão,30.8,5,25.4,3.81
24,sábado,verão,30.1,5,60.12,9.02
22,terça,verão,24.2,3,44.22,6.63
11,sexta,verão,31.0,2,24.75,3.71
24,terça,verão,26.0,2,48.0,7.2
1,domingo,verão,23.7,1,1.79,0.27
21,domingo,verão,21.4,4,41.37,6.21
24,terça,verão,29.8,2,52.56,7.88
3,domingo,verão,24.9,4,6.44,0.97
5,quinta,verão,26.8,5,11.7,1.75
19,terça,verão,23.4,1,33.63,5.04
6,sexta,verão,31.6,4,14.88,2.23
6,sábado,verão,30.4,1,12.72,1.91
21,quinta,outono,19.5,2,35.18,5.28
16,sexta,outono,10.1,3,20.88,3.13
1,sábado,outono,14.6,2,1.43,0.21
22,quarta,outono,16.8,5,40.48,6.07
23,quarta,outono,11.5,1,27.03,4.05
10,terça,outono,17.2,2,15.6,2.34
9,sábado,outono,12.5,1,11.03,1.65
6,quinta,outono,19.3,1,9.39,1.41
18,domingo,outono,13.6,3,26.64,4.0
3,quarta,outono,14.8,5,5.22,0.78
12,segunda,outono,10.4,2,14.64,2.2
6,domingo,outono,18.1,5,11.43,1.71
10,quarta,outono,17.3,3,16.65,2.5
10,quinta,outono,18.9,2,16.45,2.47
15,sábado,outono,11.9,2,19.42,2.91
6,sexta,outono,16.1,1,8.43,1.26
20,terça,outono,15.5,3,31.5,4.72
8,sábado,outono,11.2,3,10.88,1.63
11,sábado,outono,12.2,3,15.51,2.33
7,domingo,outono,16.4,1,9.94,1.49
21,sexta,outono,12.1,3,29.5,4.42
11,quarta,outono,16.1,4,18.76,2.81
14,sexta,outono,16.1,5,25.27,3.79
19,sábado,outono,10.9,5,29.35,4.4
9,terça,outono,15.8,3,14.31,2.15
17,segunda,outono,17.6,5,31.96,4.79
9,segunda,outono,13.1,5,14.89,2.23
5,sexta,outono,14.6,3,7.65,1.15
7,sábado,outono,17.8,5,13.23,1.98
10,quarta,outono,11.3,2,12.65,1.9
8,sábado,outono,19.4,5,15.76,2.36
11,segunda,outono,17.1,2,17.11,2.57
3,segunda,outono,19.5,3,5.33,0.8
1,quarta,outono,12.5,5,1.62,0.24
6,terça,outono,10.9,4,8.67,1.3
22,sexta,outono,10.4,5,33.44,5.02
23,terça,outono,16.4,2,34.96,5.24
16,quarta,outono,11.9,5,25.52,3.83
16,segunda,outono,16.3,2,24.24,3.64
8,sexta,outono,12.8,3,11.52,1.73
18,terça,outono,10.2,1,19.98,3.0
19,terça,outono,14.8,5,33.06,4.96
6,segunda,outono,12.9,5,9.87,1.48
8,domingo,outono,10.5,4,11.4,1.71
23,quinta,outono,19.3,5,45.2,6.78
9,sábado,outono,10.6,1,10.17,1.53
24,domingo,outono,10.5,4,34.2,5.13
22,domingo,outono,19.7,2,37.07,5.56
16,sábado,outono,10.4,3,21.12,3.17
16,domingo,outono,10.8,4,23.04,3.46
16,terça,outono,12.5,5,26.0,3.9
10,segunda,outono,10.0,3,13.0,1.95
11,sábado,outono,19.4,1,17.27,2.59
5,terça,outono,18.1,3,8.53,1.28
3,quarta,outono,12.7,2,4.0,0.6
18,sexta,outono,10.1,3,23.49,3.52
18,sábado,outono,10.4,3,23.76,3.56
20,segunda,outono,12.0,1,24.0,3.6
15,quarta,outono,12.8,2,20.1,3.02
22,terça,outono,18.3,5,42.13,6.32
12,quarta,outono,16.8,4,20.88,3.13
19,sábado,outono,15.2,3,29.64,4.45
9,sábado,outono,16.1,1,12.65,1.9
17,domingo,outono,18.6,2,27.71,4.16
20,domingo,outono,14.2,5,34.2,5.13
20,sexta,outono,16.4,1,28.4,4.26
6,domingo,outono,15.1,5,10.53,1.58
4,quarta,outono,13.5,4,6.3,0.94
19,domingo,outono,15.0,2,27.55,4.13
2,sexta,outono,17.9,4,3.59,0.54
15,segunda,outono,18.5,5,28.88,4.33
6,segunda,outono,13.5,1,7.65,1.15
3,domingo,outono,11.2,1,3.48,0.52
13,domingo,outono,13.3,5,21.64,3.25
12,segunda,outono,19.6,3,21.36,3.2
19,terça,outono,19.9,1,30.3,4.54
17,segunda,outono,12.7,1,20.99,3.15
17,sábado,outono,14.0,3,25.5,3.82
19,quinta,outono,15.1,2,27.65,4.15
21,quarta,outono,15.4,4,35.07,5.26
3,terça,outono,18.9,2,4.94,0.74
16,quinta,outono,11.4,2,20.32,3.05
4,quarta,outono,11.3,5,6.26,0.94
11,sábado,outono,18.7,3,19.09,2.86
18,terça,outono,17.3,1,26.37,3.96
15,sexta,outono,13.1,1,18.82,2.82
7,sábado,outono,11.2,1,8.12,1.22
18,terça,outono,19.8,3,32.22,4.83
17,terça,outono,17.7,5,32.05,4.81
22,sábado,outono,10.9,1,25.19,3.78
8,segunda,outono,16.1,3,12.84,1.93
21,sábado,outono,14.6,5,36.33,5.45
5,sexta,outono,15.4,4,8.35,1.25
23,domingo,outono,16.6,2,35.19,5.28
19,domingo,outono,11.5,2,24.22,3.63
8,sexta,outono,14.4,4,12.96,1.94
8,sexta,outono,11.3,4,11.72,1.76
1,segunda,outono,19.5,5,1.98,0.3
2,quarta,outono,15.3,1,2.73,0.41
7,sábado,outono,13.2,2,9.52,1.43
9,segunda,outono,17.8,3,15.21,2.28
11,quarta,outono,14.2,5,18.81,2.82
21,domingo,outono,15.3,3,32.87,4.93
17,domingo,outono,12.7,3,24.39,3.66
8,domingo,outono,19.9,1,12.76,1.91
18,terça,outono,13.4,2,24.66,3.7
11,segunda,outono,19.0,5,21.45,3.22
2,domingo,outono,17.1,1,2.91,0.44
14,domingo,outono,14.0,4,22.4,3.36
23,quinta,outono,18.7,4,42.2,6.33
15,sábado,outono,17.1,2,23.33,3.5
24,terça,outono,11.1,4,34.92,5.24
20,quarta,outono,15.9,4,33.9,5.08
18,terça,outono,15.9,3,28.71,4.31
8,terça,outono,11.1,4,11.64,1.75
4,sexta,outono,10.1,3,5.22,0.78
5,segunda,outono,11.1,3,6.78,1.02
21,sexta,outono,18.2,3,35.91,5.39
24,quarta,outono,13.2,5,39.84,5.98
11,quarta,outono,10.2,2,13.31,2.0
8,sábado,outono,11.3,3,10.92,1.64
9,segunda,outono,14.2,2,12.69,1.9
13,sábado,outono,12.7,4,19.96,2.99
15,quinta,outono,15.0,5,26.25,3.94
8,sábado,outono,12.2,1,9.68,1.45
24,quinta,outono,11.5,1,28.2,4.23
8,sábado,outono,12.9,4,12.36,1.85
10,segunda,outono,10.9,4,14.45,2.17
2,segunda,outono,11.9,5,3.19,0.48
2,domingo,outono,13.6,3,2.96,0.44
3,quinta,outono,15.8,1,4.17,0.63
4,quinta,outono,14.0,5,6.8,1.02
4,quinta,outono,18.3,4,7.26,1.09
6,quinta,outono,15.9,2,8.97,1.35
7,sábado,outono,19.4,1,10.99,1.65
23,sábado,outono,18.8,4,42.32,6.35
3,sábado,outono,12.6,5,4.89,0.73
17,terça,outono,14.1,3,25.59,3.84
22,terça,outono,13.5,2,30.25,4.54
12,terça,outono,13.3,4,18.78,2.82
20,segunda,outono,12.9,2,26.9,4.03
11,terça,outono,19.8,3,19.69,2.95
10,segunda,outono,10.9,3,13.45,2.02
16,sábado,outono,18.4,5,30.72,4.61
17,sexta,outono,15.9,2,25.42,3.81
